account_id,district_id,frequency,date
5270,44,POPLATEK MESICNE,1993-01-13
11265,15,POPLATEK MESICNE,1993-01-14
10364,55,POPLATEK MESICNE,1993-01-17
3834,54,POPLATEK MESICNE,1993-01-19
6473,12,POPLATEK MESICNE,1993-01-26
9265,1,POPLATEK MESICNE,1993-02-04
5622,70,POPLATEK MESICNE,1993-02-08
7753,74,POPLATEK MESICNE,1993-02-08
9188,45,POPLATEK MESICNE,1993-02-08
813,16,POPLATEK MESICNE,1993-02-10
4937,12,POPLATEK MESICNE,1993-02-20
2486,1,POPLATEK MESICNE,1993-02-27
3674,38,POPLATEK MESICNE,1993-03-12
11065,11,POPLATEK MESICNE,1993-03-19
1787,30,POPLATEK TYDNE,1993-03-22
3678,1,POPLATEK MESICNE,1993-03-24
6425,31,POPLATEK MESICNE,1993-03-29
8519,23,POPLATEK MESICNE,1993-04-02
8321,77,POPLATEK MESICNE,1993-04-12
5428,24,POPLATEK MESICNE,1993-04-14
7123,64,POPLATEK PO OBRATU,1993-04-14
10738,45,POPLATEK TYDNE,1993-04-17
5313,40,POPLATEK MESICNE,1993-04-29
3050,60,POPLATEK MESICNE,1993-05-08
1071,68,POPLATEK TYDNE,1993-05-10
9591,74,POPLATEK MESICNE,1993-05-20
5385,44,POPLATEK TYDNE,1993-05-21
10911,1,POPLATEK TYDNE,1993-05-29
4576,27,POPLATEK MESICNE,1993-06-05
2176,67,POPLATEK MESICNE,1993-06-06
4427,32,POPLATEK MESICNE,1993-06-07
1247,25,POPLATEK MESICNE,1993-06-08
9093,47,POPLATEK MESICNE,1993-06-16
4894,14,POPLATEK MESICNE,1993-06-20
5120,1,POPLATEK MESICNE,1993-06-21
5228,77,POPLATEK PO OBRATU,1993-06-23
8129,45,POPLATEK MESICNE,1993-06-26
5215,55,POPLATEK MESICNE,1993-07-01
8173,11,POPLATEK MESICNE,1993-07-05
6226,74,POPLATEK TYDNE,1993-07-26
3629,48,POPLATEK MESICNE,1993-07-27
7819,38,POPLATEK MESICNE,1993-08-01
6363,74,POPLATEK MESICNE,1993-08-01
11021,1,POPLATEK MESICNE,1993-08-10
5481,52,POPLATEK MESICNE,1993-08-16
9236,11,POPLATEK MESICNE,1993-08-18
6051,56,POPLATEK MESICNE,1993-08-28
1106,20,POPLATEK TYDNE,1993-08-29
8073,24,POPLATEK PO OBRATU,1993-09-03
7190,49,POPLATEK MESICNE,1993-09-06
6930,41,POPLATEK MESICNE,1993-09-08
8475,4,POPLATEK MESICNE,1993-09-08
10940,50,POPLATEK MESICNE,1993-09-13
9337,30,POPLATEK MESICNE,1993-09-13
7133,1,POPLATEK MESICNE,1993-09-17
1811,40,POPLATEK MESICNE,1993-09-22
8982,64,POPLATEK MESICNE,1993-09-25
11135,75,POPLATEK MESICNE,1993-10-10
8041,1,POPLATEK MESICNE,1993-10-10
4260,56,POPLATEK MESICNE,1993-10-14
2345,5,POPLATEK MESICNE,1993-10-25
5256,72,POPLATEK PO OBRATU,1993-10-25
3354,63,POPLATEK MESICNE,1993-11-05
9656,61,POPLATEK MESICNE,1993-11-14
8377,29,POPLATEK MESICNE,1993-11-20
10439,66,POPLATEK MESICNE,1993-11-21
10788,67,POPLATEK TYDNE,1993-11-22
6353,26,POPLATEK MESICNE,1993-11-26
10131,1,POPLATEK MESICNE,1993-11-27
426,1,POPLATEK MESICNE,1993-11-29
344,54,POPLATEK MESICNE,1993-12-01
10663,11,POPLATEK MESICNE,1993-12-08
347,65,POPLATEK MESICNE,1993-12-13
6148,74,POPLATEK MESICNE,1993-12-27
9104,10,POPLATEK MESICNE,1994-01-21
4907,42,POPLATEK MESICNE,1994-02-06
6472,61,POPLATEK MESICNE,1994-02-08
8558,1,POPLATEK PO OBRATU,1994-02-27
817,5,POPLATEK MESICNE,1994-03-18
2228,34,POPLATEK MESICNE,1994-03-19
3804,7,POPLATEK MESICNE,1994-04-07
4259,66,POPLATEK MESICNE,1994-04-08
1375,19,POPLATEK MESICNE,1994-04-27
9750,74,POPLATEK MESICNE,1994-05-16
2496,51,POPLATEK MESICNE,1994-05-21
2227,31,POPLATEK TYDNE,1994-05-22
3037,44,POPLATEK MESICNE,1994-05-26
8316,70,POPLATEK MESICNE,1994-06-04
4825,15,POPLATEK MESICNE,1994-06-04
10942,44,POPLATEK TYDNE,1994-06-05
7765,52,POPLATEK TYDNE,1994-07-10
5574,13,POPLATEK TYDNE,1994-07-14
9627,65,POPLATEK PO OBRATU,1994-07-22
8776,64,POPLATEK MESICNE,1994-08-24
9006,40,POPLATEK TYDNE,1994-09-02
7546,43,POPLATEK MESICNE,1994-09-03
8899,1,POPLATEK TYDNE,1994-09-05
11359,61,POPLATEK MESICNE,1994-10-01
8127,37,POPLATEK MESICNE,1994-10-13
5422,66,POPLATEK MESICNE,1994-10-22
1993,68,POPLATEK MESICNE,1994-10-30
4476,24,POPLATEK MESICNE,1994-11-10
1583,69,POPLATEK PO OBRATU,1994-11-17
2218,19,POPLATEK MESICNE,1994-11-21
3489,9,POPLATEK MESICNE,1994-12-08
1011,45,POPLATEK MESICNE,1994-12-17
4503,50,POPLATEK MESICNE,1995-01-03
7795,64,POPLATEK MESICNE,1995-01-05
7562,72,POPLATEK TYDNE,1995-01-17
915,72,POPLATEK MESICNE,1995-01-18
9814,64,POPLATEK TYDNE,1995-01-19
2352,70,POPLATEK MESICNE,1995-01-21
5735,52,POPLATEK MESICNE,1995-01-25
7614,62,POPLATEK MESICNE,1995-02-08
2268,1,POPLATEK MESICNE,1995-02-11
1967,26,POPLATEK TYDNE,1995-02-13
4727,2,POPLATEK MESICNE,1995-02-13
10884,65,POPLATEK MESICNE,1995-02-20
1772,31,POPLATEK TYDNE,1995-02-20
9493,64,POPLATEK MESICNE,1995-04-02
7815,19,POPLATEK TYDNE,1995-04-09
10351,23,POPLATEK MESICNE,1995-05-04
544,32,POPLATEK MESICNE,1995-05-15
10963,16,POPLATEK MESICNE,1995-05-20
11069,37,POPLATEK MESICNE,1995-06-02
2018,42,POPLATEK MESICNE,1995-06-04
5263,64,POPLATEK MESICNE,1995-07-14
8547,14,POPLATEK TYDNE,1995-07-17
4081,11,POPLATEK MESICNE,1995-07-22
4948,43,POPLATEK MESICNE,1995-07-29
5033,54,POPLATEK MESICNE,1995-08-03
5118,72,POPLATEK MESICNE,1995-08-05
4681,70,POPLATEK MESICNE,1995-08-08
8327,1,POPLATEK TYDNE,1995-08-08
3679,64,POPLATEK MESICNE,1995-08-15
5213,1,POPLATEK MESICNE,1995-08-18
2236,73,POPLATEK MESICNE,1995-08-27
9052,43,POPLATEK PO OBRATU,1995-08-30
10365,22,POPLATEK MESICNE,1995-09-02
4190,62,POPLATEK MESICNE,1995-10-04
6400,31,POPLATEK PO OBRATU,1995-10-09
4473,45,POPLATEK MESICNE,1995-10-09
8533,47,POPLATEK MESICNE,1995-10-10
11362,67,POPLATEK MESICNE,1995-10-14
4650,4,POPLATEK MESICNE,1995-10-15
10762,1,POPLATEK MESICNE,1995-10-23
10520,55,POPLATEK PO OBRATU,1995-10-24
9353,59,POPLATEK MESICNE,1995-11-03
