recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend
9,1) $0 - $100,64.85,1,0,Surburban,1,Web,Mens E-Mail,0,0,0.0
1,2) $100 - $200,144.12,0,1,Urban,0,Web,Mens E-Mail,0,0,0.0
1,5) $500 - $750,734.25,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0
4,"7) $1,000 +",1321.26,1,0,Surburban,1,Multichannel,Mens E-Mail,1,0,0.0
2,3) $200 - $350,261.23,1,1,Surburban,1,Web,Womens E-Mail,1,0,0.0
6,3) $200 - $350,290.33,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
5,1) $0 - $100,55.56,0,1,Urban,0,Phone,Mens E-Mail,1,0,0.0
11,1) $0 - $100,76.11,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0
6,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
11,3) $200 - $350,260.92,1,0,Rural,0,Phone,No E-Mail,0,0,0.0
2,3) $200 - $350,306.93,0,1,Rural,1,Web,Womens E-Mail,1,0,0.0
10,1) $0 - $100,72.33,0,1,Urban,1,Web,Mens E-Mail,0,0,0.0
10,1) $0 - $100,85.84,0,1,Urban,1,Web,No E-Mail,0,0,0.0
4,2) $100 - $200,140.91,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
3,2) $100 - $200,173.22,0,1,Rural,1,Web,No E-Mail,0,0,0.0
4,2) $100 - $200,167.67,1,0,Rural,0,Phone,Womens E-Mail,0,0,0.0
1,1) $0 - $100,31.5,1,0,Urban,0,Web,No E-Mail,0,0,0.0
1,"6) $750 - $1,000",966.24,1,0,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
1,1) $0 - $100,37.33,0,1,Urban,1,Web,Mens E-Mail,0,0,0.0
1,2) $100 - $200,165.36,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0
8,"6) $750 - $1,000",931.01,1,0,Urban,1,Multichannel,Mens E-Mail,0,0,0.0
3,5) $500 - $750,548.87,1,0,Urban,1,Phone,Womens E-Mail,1,0,0.0
1,3) $200 - $350,307.58,1,0,Surburban,0,Multichannel,No E-Mail,0,0,0.0
6,5) $500 - $750,706.13,1,0,Rural,1,Multichannel,Womens E-Mail,0,0,0.0
5,5) $500 - $750,543.79,0,1,Rural,1,Web,No E-Mail,0,0,0.0
