date,intervention,control,metric
2025-01-01,0,100.609,102.832
2025-01-02,0,102.661,101.546
2025-01-03,0,107.45,106.217
2025-01-04,0,104.634,104.938
2025-01-05,0,93.695,94.961
2025-01-06,0,91.796,91.813
2025-01-07,0,95.865,97.858
2025-01-08,0,99.718,101.003
2025-01-09,0,105.057,106.32
2025-01-10,0,104.593,105.425
2025-01-11,0,104.862,108.354
2025-01-12,0,99.502,99.195
2025-01-13,0,94.882,91.877
2025-01-14,0,98.213,100.62
2025-01-15,0,101.635,100.948
2025-01-16,0,103.722,103.884
2025-01-17,0,107.387,109.351
2025-01-18,0,101.536,99.132
2025-01-19,0,100.054,98.176
2025-01-20,0,95.001,92.599
2025-01-21,0,95.939,94.748
2025-01-22,0,99.688,100.348
2025-01-23,0,108.236,109.022
2025-01-24,0,106.691,107.105
2025-01-25,0,102.947,100.827
2025-01-26,0,97.942,94.477
2025-01-27,0,96.515,96.597
2025-01-28,0,97.39,96.682
2025-01-29,0,102.225,102.915
2025-01-30,0,107.003,108.056
2025-01-31,0,111.633,111.84
2025-02-01,0,103.34,104.481
2025-02-02,0,97.972,98.316
2025-02-03,0,94.173,94.968
2025-02-04,0,98.241,97.184
2025-02-05,0,104.008,103.739
2025-02-06,0,106.263,106.558
2025-02-07,0,106.019,107.25
2025-02-08,0,102.854,102.264
2025-02-09,0,100.648,101.43
2025-02-10,0,97.637,97.238
2025-02-11,0,98.445,98.269
2025-02-12,0,100.769,102.013
2025-02-13,0,107.305,104.316
2025-02-14,0,108.283,106.338
2025-02-15,0,105.291,103.067
2025-02-16,0,101.44,97.939
2025-02-17,0,96.948,95.93
2025-02-18,0,99.067,100.191
2025-02-19,0,102.585,102.158
2025-02-20,0,107.769,108.066
2025-02-21,0,109.662,111.296
2025-02-22,0,102.289,104.281
2025-02-23,0,99.407,99.304
2025-02-24,0,95.91,97.94
2025-02-25,0,96.781,96.919
2025-02-26,0,102.25,100.994
2025-02-27,0,110.531,109.639
2025-02-28,0,107.018,104.797
2025-03-01,0,107.49,106.158
